FID,COMID,UID,BSN_COUNT,AreaSqKM,RPU,COMID_1,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,inStreamCat,PctCarbResidCat,PctNonCarbResidCat,PctAlkIntruVolCat,PctSilicicCat,PctExtruVolCat,PctColluvSedCat,PctGlacTilClayCat,PctGlacTilLoamCat,PctGlacTilCrsCat,PctGlacLakeCrsCat,PctGlacLakeFineCat,PctHydricCat,PctEolCrsCat,PctEolFineCat,PctSalLakeCat,PctAlluvCoastCat,PctCoastCrsCat,PctWaterCat,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
123781,23756404,124790,808,0.7272,17c,23756404,0.7272,0.7272,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123774,23756408,124783,88,0.0792,17c,23756408,0.0792,0.5994,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123787,23756412,124796,998,0.8982,17c,23756412,0.8982,1.6254,100,100,0,0,0,0,0,99.8997996,0,0,0,0.100200401,0,0,0,0,0,0,0,0,0,0,0,0,0,99.94462901,0,0,0,0.055370986,0,0,0,0,0,0,0,0,0
123762,23756418,124771,1869,1.6821,17c,23756418,1.6821,1.6821,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123820,23756426,124829,29,0.0261,17c,23756426,0.0261,0.0261,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123788,23756430,124797,281,0.2529,17c,23756430,0.2529,1.8648,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8.204633205,0,0,0,91.7953668,0,0,0,0,0,0,0,0,0
123790,23756434,124799,1791,1.6119,17c,23756434,1.6119,1.6119,100,100,0,0,0,0,0,9.491903964,0,0,0,90.50809604,0,0,0,0,0,0,0,0,0,0,0,0,0,9.491903964,0,0,0,90.50809604,0,0,0,0,0,0,0,0,0
123825,23756438,124834,337,0.3033,17c,23756438,0.3033,0.3033,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123769,23756442,124778,548,0.4932,17c,23756442,0.4932,0.4932,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123823,23756462,124832,851,0.7659,17c,23756462,0.7659,0.7659,100,100,0,0,0,0,0,43.12573443,0,0,0,56.87426557,0,0,0,0,0,0,0,0,0,0,0,0,0,43.12573443,0,0,0,56.87426557,0,0,0,0,0,0,0,0,0
